"task_id","run_id","imputation","cell_id","scenario","n","validated","m","k","chunk_id","chunks_per_cell","reps","reps_per_cell","base_seed"
54,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,4,50,50,2500,8600150
55,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,5,50,50,2500,8600200
56,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,6,50,50,2500,8600250
57,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,7,50,50,2500,8600300
58,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,8,50,50,2500,8600350
59,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,9,50,50,2500,8600400
60,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,10,50,50,2500,8600450
61,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,11,50,50,2500,8600500
62,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,12,50,50,2500,8600550
63,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,13,50,50,2500,8600600
64,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,14,50,50,2500,8600650
65,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,15,50,50,2500,8600700
66,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,16,50,50,2500,8600750
67,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,17,50,50,2500,8600800
68,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,18,50,50,2500,8600850
69,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,19,50,50,2500,8600900
70,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,20,50,50,2500,8600950
71,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,21,50,50,2500,8601000
72,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,22,50,50,2500,8601050
73,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,23,50,50,2500,8601100
74,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,24,50,50,2500,8601150
75,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,25,50,50,2500,8601200
76,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,26,50,50,2500,8601250
77,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,27,50,50,2500,8601300
78,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,28,50,50,2500,8601350
79,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,29,50,50,2500,8601400
80,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,30,50,50,2500,8601450
81,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,31,50,50,2500,8601500
82,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,32,50,50,2500,8601550
83,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,33,50,50,2500,8601600
84,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,34,50,50,2500,8601650
85,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,35,50,50,2500,8601700
86,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,36,50,50,2500,8601750
87,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,37,50,50,2500,8601800
88,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,38,50,50,2500,8601850
89,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,39,50,50,2500,8601900
90,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,40,50,50,2500,8601950
91,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,41,50,50,2500,8602000
92,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,42,50,50,2500,8602050
93,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,43,50,50,2500,8602100
94,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,44,50,50,2500,8602150
95,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,45,50,50,2500,8602200
96,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,46,50,50,2500,8602250
97,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,47,50,50,2500,8602300
98,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,48,50,50,2500,8602350
99,"gs_n2000_full_20260901_r2","pmm",2,"GS",2000,500,5,10,49,50,50,2500,8602400
